state,county,current_votes,total_votes,percent,DEM,REP,usa_state,usa_state_code,percent_democrat,percent_republican,vote_margin,current_votes_percent,total_votes_percent,winning_candidate,winning_votes,margin_of_victory
Missouri,Barry County,15527,31125,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.88594377349764,99.99999999678715,total_votes,31125,15598
Missouri,Barton County,6032,12109,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.814187790088845,99.99999999174167,total_votes,12109,6077
Missouri,Bates County,8357,16773,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.82412209802515,99.99999999403803,total_votes,16773,8416
Missouri,Benton County,10433,20909,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.89717346358519,99.99999999521737,total_votes,20909,10476
Missouri,Bollinger County,5948,11931,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.853323271322324,99.99999999161847,total_votes,11931,5983
Missouri,Boone County,90705,181873,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.87271337664264,99.99999999945017,total_votes,181873,91168
Missouri,Buchanan County,36394,72992,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.86025865780003,99.99999999863,total_votes,72992,36598
Missouri,Butler County,18004,36145,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.81048554295724,99.99999999723337,total_votes,36145,18141
Missouri,Caldwell County,4650,9345,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.75922952918574,99.99999998929908,total_votes,9345,4695
Missouri,Callaway County,21101,42245,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.94910640194226,99.99999999763286,total_votes,42245,21144
Missouri,Camden County,24728,49540,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.91522002321528,99.99999999798142,total_votes,49540,24812
Missouri,Cape Girardeau County,40161,80489,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.89625911553261,99.9999999987576,total_votes,80489,40328
Missouri,Carroll County,4498,9030,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.811738643431696,99.99999998892581,total_votes,9030,4532
Missouri,Carter County,2861,5758,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.687391446737166,99.99999998263284,total_votes,5758,2897
